x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.13,-0.01,0.12,75.60129464500447,110.33228740803455,159.51595664743394,49.183669239399414,-6.0,86.0,0.108,1.548,84.62860036654276
0.13,-0.02,0.12,71.2538377374448,109.64890628243701,159.11290525938568,49.463998976948666,-22.0,85.0,0.396,1.53,84.59905436823747
0.13,-0.03,0.12,67.0053832080835,108.5252951310455,158.43702908303507,49.91173395198957,-36.0,86.0,0.648,1.548,75.96051605933177
0.13,-0.04,0.12,62.89727103094762,106.98322596997387,157.48263263254333,50.49940666256946,-46.0,91.0,0.828,1.638,74.63243262818116
0.13,-0.05,0.12,58.96248897457818,105.05080683913772,156.24257846284698,51.19177162370925,-61.0,87.0,1.098,1.566,76.48529270389177
0.13,-0.06,0.12,55.224859431168085,102.76044112817608,154.70883321324737,51.94839208507127,-70.0,93.0,1.26,1.674,75.95393340703298
0.13,-0.07,0.12,51.699244233993625,100.14660790798169,152.87285289520293,52.72624498722122,-87.0,90.0,1.566,1.62,76.16429609731846
0.13,-0.08,0.12,48.3924977537511,97.24366133222938,150.7256931098296,53.482031777600206,-101.0,92.0,1.818,1.656,77.0
0.13,-0.09,0.12,45.30484646876603,94.08380395514153,148.2577740429466,54.17397008780505,-113.0,94.0,2.034,1.692,76.10519036176179
0.13,-0.1,0.12,42.431407971172504,90.69532313946664,145.4582624774506,54.76293933798397,-129.0,95.0,2.322,1.71,75.4254598925323
0.12,-0.11,0.12,37.489552921999156,91.39716985465594,146.0511983670063,54.65402851235038,-142.0,80.0,2.556,1.44,76.48529270389177
0.11,-0.12,0.12,32.510447078000844,91.39716985465594,146.0511983670063,54.65402851235038,-155.0,65.0,2.79,1.17,77.79460135510689
0.1,-0.13,0.12,27.56859202882749,90.69532313946664,145.4582624774506,54.76293933798397,-168.0,46.0,3.024,0.828,78.29431652425353
0.09,-0.14,0.12,22.735226272107596,89.30875964113709,144.2666903041677,54.95793066303061,-182.0,30.0,3.276,0.54,78.54934754662193
0.08,-0.14,0.12,19.744881296942218,92.28288469075476,146.78969941542863,54.50681472467387,-183.0,13.0,3.294,0.234,81.02468759581859
0.07,-0.14,0.12,16.56505117707799,94.99981352443632,148.98730937395703,53.987495849520705,-183.0,-3.0,3.294,-0.054,81.68843247363729
0.06,-0.14,0.12,13.198590513648185,97.43368320999471,150.8697462877992,53.43606307780449,-175.0,-18.0,3.15,-0.324,82.07313811473277
0.05,-0.14,0.12,9.653824058053303,99.55673522845954,152.44580322609056,52.889067997631024,-172.0,-29.0,3.096,-0.522,81.39410298049853
0.06,-0.13,0.12,14.775140568831915,102.76044112817608,154.70883321324737,51.94839208507127,-160.0,-16.0,2.88,-0.288,79.98124780221924
0.05,-0.13,0.12,11.037511025421807,105.05080683913772,156.24257846284698,51.19177162370925,-152.0,-24.0,2.736,-0.432,82.73451516749222
0.06,-0.12,0.12,16.56505117707799,108.08108375954072,158.165291207637,50.084207448096286,-139.0,-12.0,2.502,-0.216,81.83520025025906
0.05,-0.12,0.12,12.61986494804043,110.56165427596392,159.6498794523689,49.08822517640501,-137.0,-23.0,2.466,-0.414,80.65977932030313
0.06,-0.11,0.12,18.61045966596521,113.3781308978084,161.23908684547888,47.860955947670476,-123.0,-12.0,2.214,-0.216,81.40024569987489
0.05,-0.11,0.12,14.443954780416533,116.07086228602692,162.6635340415101,46.59267175548318,-116.0,-23.0,2.088,-0.414,82.97590011563598
0.05,-0.1,0.12,16.56505117707799,121.54446694984355,165.2760867370148,43.73161978717124,-102.0,-19.0,1.836,-0.342,80.60397012554654
0.06,-0.1,0.12,20.963756532073518,118.61961415120756,163.92704753857686,45.30743338736932,-115.0,-4.0,2.07,-0.072,77.6659513557904
0.07,-0.1,0.12,24.992020198558663,115.32537028508844,162.27841132779272,46.953041042704285,-116.0,8.0,2.088,0.144,77.02596964660685
0.08,-0.1,0.12,28.659808254090088,111.72057693828101,160.31616249362438,48.59558555534336,-120.0,24.0,2.16,0.432,76.55716818169282
0.09,-0.1,0.12,31.987212495816657,107.86007569564381,158.0291339974189,50.16905830177512,-120.0,39.0,2.16,0.702,76.21679604916491
0.1,-0.1,0.12,35.0,103.7921505444392,155.40834861469415,51.616198070254974,-119.0,52.0,2.142,0.936,76.15773105863909
0.09,-0.11,0.12,29.289406862500357,103.3776328317195,155.12900328134117,51.751370449621675,-132.0,36.0,2.376,0.648,75.76938695805846
0.08,-0.11,0.12,26.02737338510361,106.98322596997387,157.48263263254333,50.49940666256946,-129.0,23.0,2.322,0.414,79.62411694957753
0.07,-0.11,0.12,22.471192290848492,110.33228740803455,159.51595664743394,49.183669239399414,-126.0,7.0,2.268,0.126,81.12336284942828
0.07,-0.12,0.12,20.25643716352927,105.26283824054431,156.3810463850317,51.118208144487404,-144.0,12.0,2.592,0.216,76.8505042273634
0.08,-0.12,0.12,23.690067525979785,102.14863694396979,154.28731058245563,52.13867363848584,-144.0,22.0,2.592,0.396,78.29431652425353
0.09,-0.12,0.12,26.86989764584402,98.77760954436249,151.87452426188213,53.09691471751963,-147.0,37.0,2.646,0.666,77.87810988975015
0.1,-0.12,0.12,29.80557109226519,95.18431288599794,149.13285255025232,53.948539664254376,-150.0,51.0,2.7,0.918,76.89603370785778
0.11,-0.11,0.12,35.0,95.55463665154039,149.42357256751137,53.86893591597097,-135.0,71.0,2.43,1.278,75.92759709091287
0.12,-0.1,0.12,40.1944289077348,95.18431288599794,149.13285255025232,53.948539664254376,-124.0,82.0,2.232,1.476,76.79192665899195
0.12,-0.09,0.12,43.13010235415598,98.77760954436249,151.87452426188213,53.09691471751963,-113.0,81.0,2.034,1.458,79.22752047110903
