t0,t1,t2,t3,t4,t5 ,x,y,z
-0.38404,1.8989,-1.743,0.018598,0,0,0.13848052622409465,-0.055960648343645975,0.12
-0.4061,1.9003,-1.744,0.018233,0,0,0.1370832978645463,-0.05894613346948721,0.12
-0.48396,1.9076,-1.7493,0.016292,0,0,0.13143751733403533,-0.06909073165277532,0.12
-0.50537,2.0652,-1.8548,-0.035864,0,0,0.11628972044445057,-0.06434260576114088,0.12
-0.16571,2.5133,-2.0524,-0.28632,0,0,0.08802314133112578,-0.014721310171767235,0.12
0.064053,2.5859,-2.07,-0.34135,0,0,0.08182790086995882,0.005248502327169287,0.12
0.2469,2.6176,-2.0763,-0.3667,0,0,0.07638887425062112,0.019253235503255958,0.12
0.2469,2.6176,-2.0763,-0.3667,0,0,0.07638887425062112,0.019253235503255958,0.12
0.2469,2.6176,-2.0763,-0.3667,0,0,0.07638887425062112,0.019253235503255958,0.12
-0.21678,2.3503,-1.9979,-0.17786,0,0,0.10271395228117794,-0.02262180553157511,0.12
-0.35946,2.0265,-1.8307,-0.021299,0,0,0.1279724604602276,-0.04809031919258912,0.12
-0.42056,1.8933,-1.7388,0.020069,0,0,0.13685317302457906,-0.06120681436966565,0.12
-0.42056,1.8933,-1.7388,0.020069,0,0,0.13685317302457906,-0.06120681436966565,0.12
-0.44822,1.8257,-1.6869,0.035747,0,0,0.14120363912152864,-0.06789940786420237,0.12
-0.49166,2.0314,-1.8338,-0.023076,0,0,0.12009069617286637,-0.0643112473937896,0.12
-0.506,2.2661,-1.962,-0.12964,0,0,0.0991355074189435,-0.05493285661607893,0.12
-0.42481,2.1146,-1.8839,-0.056096,0,0,0.11668044628319615,-0.05278089624888315,0.12
-0.42481,2.1146,-1.8839,-0.056096,0,0,0.11668044628319615,-0.05278089624888315,0.12
-0.12083,1.8072,-1.6721,0.039418,0,0,0.15738202069518878,-0.0191095593529553,0.12
-0.023048,1.6858,-1.5679,0.056656,0,0,0.1707070127458866,-0.003935152052217501,0.12
0.018254,1.6095,-1.4964,0.061411,0,0,0.1783973318298419,0.0032568266373812853,0.12
0.029035,1.597,-1.4842,0.06174,0,0,0.1796045493134581,0.005216284001802902,0.12
0.029035,1.597,-1.4842,0.06174,0,0,0.1796045493134581,0.005216284001802902,0.12
-0.18583,2.0219,-1.8277,-0.019639,0,0,0.13479988485490405,-0.025342249243959253,0.12
-0.11946,2.3198,-1.9855,-0.15976,0,0,0.10736218822129259,-0.012886846810701109,0.12
0.17311,2.2035,-1.9318,-0.097186,0,0,0.11762245187260272,0.020567483351277997,0.12
0.30491,2.0757,-1.8612,-0.040032,0,0,0.12579223849177595,0.03958987534797229,0.12
0.30491,2.0757,-1.8612,-0.040032,0,0,0.12579223849177595,0.03958987534797229,0.12
0.35471,1.9964,-1.8111,-0.010748,0,0,0.13098307831846437,0.048512898865590764,0.12
-0.24035,2.1928,-1.9263,-0.091923,0,0,0.11698195137961327,-0.028670836784902544,0.12
-0.63723,2.1398,-1.8981,-0.067165,0,0,0.1009544485408241,-0.07473124136000674,0.12
-0.74641,2.0618,-1.8527,-0.034534,0,0,0.09781274292355564,-0.09046828951121977,0.12
-0.80187,1.966,-1.7906,-0.00079728,0,0,0.09921841113077622,-0.10254207753226367,0.12
-0.80187,1.966,-1.7906,-0.00079728,0,0,0.09921841113077622,-0.10254207753226367,0.12
-0.80187,1.966,-1.7906,-0.00079728,0,0,0.09921841113077622,-0.10254207753226367,0.12
-0.37613,2.016,-1.8239,-0.017538,0,0,0.12811388370802898,-0.05059630326837291,0.12
-0.32963,2.0971,-1.8739,-0.048743,0,0,0.12279222595623517,-0.04200863387280965,0.12
-0.61745,2.1304,-1.8929,-0.062989,0,0,0.10316137034084844,-0.0732514172134707,0.12
-0.76657,2.0801,-1.8638,-0.041767,0,0,0.09467698183064498,-0.09117727397592917,0.12
-0.76657,2.0801,-1.8638,-0.041767,0,0,0.09467698183064498,-0.09117727397592917,0.12
-0.83365,2.0445,-1.8421,-0.027937,0,0,0.09070330572117516,-0.09990778546875434,0.12
-0.67989,2.2664,-1.9621,-0.12977,0,0,0.08811200161390162,-0.07123674336710573,0.12
-0.34218,1.9924,-1.8085,-0.0094045,0,0,0.13195472399485264,-0.04700115869391996,0.12
-0.35904,1.7402,-1.6161,0.05039,0,0,0.15473694480567243,-0.05807389494765857,0.12
-0.35099,1.6263,-1.5126,0.060768,0,0,0.16596556493717854,-0.060768426718105145,0.12
-0.34926,1.604,-1.4911,0.06157,0,0,0.16817422688485836,-0.061247391743436325,0.12
-0.34944,1.5799,-1.4674,0.061985,0,0,0.1704320830854132,-0.06210442964522408,0.12
-0.19406,1.616,-1.5027,0.061189,0,0,0.17443810994374886,-0.03428290045696789,0.12
-0.1465,1.6784,-1.5612,0.057325,0,0,0.16966120525253597,-0.025034723855092367,0.12
-0.1465,1.6784,-1.5612,0.057325,0,0,0.16966120525253597,-0.025034723855092367,0.12
-0.1465,1.6784,-1.5612,0.057325,0,0,0.16966120525253597,-0.025034723855092367,0.12
-0.018369,1.5788,-1.4662,0.061993,0,0,0.1814716070671594,-0.0033338269254576574,0.12
-0.00024166,1.5259,-1.4126,0.061201,0,0,0.18678188072482366,-4.5137710174634965e-05,0.12
-0.00024166,1.5259,-1.4126,0.061201,0,0,0.18678188072482366,-4.5137710174634965e-05,0.12
-0.25288,1.9638,-1.7892,-0.00011954,0,0,0.13836220743045838,-0.03575444947778923,0.12
-0.04911,2.0203,-1.8267,-0.019056,0,0,0.13715436272967843,-0.006741070979122695,0.12
0.082492,1.8154,-1.6787,0.037832,0,0,0.1571781954150081,0.012995434752629615,0.12
0.19072,1.6585,-1.5429,0.058898,0,0,0.17035615522316325,0.03289007885135732,0.12
0.2246,1.5803,-1.4678,0.061982,0,0,0.176799743615673,0.0403906890976906,0.12
0.2246,1.5803,-1.4678,0.061982,0,0,0.176799743615673,0.0403906890976906,0.12
0.2246,1.5803,-1.4678,0.061982,0,0,0.176799743615673,0.0403906890976906,0.12
0.13205,1.671,-1.5544,0.057949,0,0,0.17074318579230902,0.022678608335619094,0.12
0.04709,1.8005,-1.6666,0.040678,0,0,0.1590326573453209,0.007494388175714623,0.12
0.04709,1.8005,-1.6666,0.040678,0,0,0.1590326573453209,0.007494388175714623,0.12
-0.0093069,1.8477,-1.7042,0.031043,0,0,0.15446928121486345,-0.0014376716631787734,0.12
0.24326,1.6788,-1.5615,0.057293,0,0,0.16640832411287432,0.04129833639650383,0.12
