t0,t1,t2,t3,t4,t5 
0.42572,1.4627,-1.3455,0.057283,0,0
0.47304,1.6938,-1.5752,0.055884,0,0
0.63689,2.011,-1.8207,-0.015774,0,0
0.63689,2.011,-1.8207,-0.015774,0,0
0.69987,2.06,-1.8516,-0.033826,0,0
-0.019789,2.0415,-1.8402,-0.026801,0,0
-0.10266,1.7814,-1.6509,0.044075,0,0
0.079618,1.8612,-1.7146,0.027976,0,0
0.21663,1.865,-1.7176,0.027064,0,0
0.24582,1.8605,-1.7141,0.028119,0,0
0.26201,1.8565,-1.711,0.029049,0,0
-0.013198,1.7447,-1.62,0.049762,0,0
-0.1749,1.6342,-1.52,0.06039,0,0
-0.2299,1.5845,-1.4719,0.061942,0,0
-0.2449,1.5769,-1.4644,0.062004,0,0
-0.2976,1.5423,-1.4295,0.06169,0,0
-0.055356,1.8389,-1.6973,0.032981,0,0
-0.24438,2.0267,-1.8308,-0.021376,0,0
-0.50361,1.8831,-1.7312,0.022671,0,0
-0.6049,1.7864,-1.6551,0.04321,0,0
-0.64095,1.7472,-1.6221,0.049412,0,0
-0.65593,1.7206,-1.599,0.05292,0,0
-0.65593,1.7206,-1.599,0.05292,0,0
-0.084133,1.7411,-1.6168,0.050275,0,0
0.24924,1.8524,-1.7079,0.029985,0,0
0.12384,2.1222,-1.8883,-0.059413,0,0
0.048925,2.2569,-1.9577,-0.12467,0,0
0.014795,2.3121,-1.9822,-0.1553,0,0
-0.014614,2.3426,-1.9948,-0.17319,0,0
-0.2259,2.2055,-1.9328,-0.098156,0,0
-0.26653,2.0181,-1.8253,-0.018269,0,0
-0.27325,1.9762,-1.7976,-0.0040692,0,0
-0.27814,1.95,-1.7796,0.0041557,0,0
0.20781,1.9626,-1.7883,0.00025761,0,0
0.48433,1.8082,-1.6729,0.039229,0,0
0.60105,1.7099,-1.5896,0.054172,0,0
0.62711,1.6746,-1.5577,0.057647,0,0
0.64198,1.6415,-1.5269,0.059994,0,0
-0.056452,1.8857,-1.7332,0.021998,0,0
