t0i,t1i,t2i,t3i,xi,yi,t00.30,t10.30,t20.30,t30.30,x0.30,y0.30,t00.50,t10.50,t20.50,t30.50,x0.50,y0.50,t00.75,t10.75,t20.75,t30.75,x0.75,y0.75,t00.82,t10.82,t20.82,t30.82,x0.82,y0.82,t00.90,t10.90,t20.90,t30.90,x0.90,y0.90,t00.95,t10.95,t20.95,t30.95,x0.95,y0.95,t0f,t1f,t2f,t3f,xf,yf
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,90.56587327113151,129.8469055062051,168.51975614936973,38.67285064316462,0.0965,0.018,92.30801581742793,104.19608930478731,155.6783667858585,51.4822774810712,0.1375,0.03,93.40959586709407,73.46883912973702,128.73651464269395,55.26767551295694,0.18875,0.045,93.6310115996023,63.92549613488846,117.67950724326467,53.754011108376204,0.20412499999999997,0.049499999999999995,93.82107792543358,53.51781873706933,104.20146487268116,50.68364613561184,0.2195,0.054,93.93351036680377,45.50083579947069,92.84500705588917,47.34417125641848,0.22974999999999998,0.056999999999999995,93.93351036680377,45.50083579947069,92.84500705588917,47.34417125641848,0.24,0.06
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,92.27709805110803,129.48592338006563,168.39680881475516,38.91088543468952,0.0965,0.021,94.28109573597082,103.5198448088122,155.22509826395532,51.705253455143115,0.1375,0.035,95.54367922670144,72.37477660281756,127.53335183350653,55.158575230688975,0.18875,0.052500000000000005,95.79699761321703,62.62790365571534,116.07891932317837,53.45101566746302,0.20412499999999997,0.05775,96.01432312122134,51.88029973577701,101.94961580049244,50.06931606471543,0.2195,0.06300000000000001,96.14282494125632,43.41675011530813,89.75764533370254,46.34089521839441,0.22974999999999998,0.0665,96.14282494125632,43.41675011530813,89.75764533370254,46.34089521839441,0.24,0.07
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,97.78913002894751,129.82834447689714,168.5134748475207,38.685130370623554,0.0935,0.03,100.67442476087389,103.67531739209053,155.3298456235505,51.65452823146,0.1325,0.05,102.47943439710312,72.23492535951762,127.37834441279922,55.1434190532816,0.18125,0.07500000000000001,102.84019236629108,62.37660051547276,115.7662776341165,53.389677118643746,0.195875,0.0825,103.1492967665504,51.46974466718346,101.37953819605633,49.90979352887286,0.21050000000000002,0.09000000000000001,103.33189097817959,42.815825568533526,88.85720148162406,46.04137591309054,0.22025,0.095,103.33189097817959,42.815825568533526,88.85720148162406,46.04137591309054,0.23,0.1
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,101.69217076358896,130.31267164333053,168.67594115505813,38.36326951172758,0.0905,0.036,105.20112364547506,104.0916212821831,155.60874154847707,51.517120266293965,0.1275,0.06,107.3835066387666,72.51471817400137,127.68818494083364,55.17346676683226,0.17375,0.09,107.81829083658349,62.62487651820605,116.07515843995306,53.45028192174701,0.187625,0.09899999999999999,108.19042482051375,51.69650535578732,101.69467938645293,49.998174030665616,0.2015,0.108,108.41007554338066,43.04332647353021,89.19863352586603,46.15530705233582,0.21075,0.11399999999999999,108.41007554338066,43.04332647353021,89.19863352586603,46.15530705233582,0.22,0.12
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,105.64100582430528,130.51867641841517,168.74413833585515,38.22546191744,0.0875,0.042,109.74488129694222,103.98731069869952,155.53907663895825,51.55176594025871,0.1225,0.07,112.27564431457765,71.95548754388224,127.06780201189234,55.1123144680101,0.16624999999999998,0.10500000000000001,112.7775839131192,61.87364998120857,115.13798213265042,53.26433215144185,0.17937499999999998,0.1155,113.20657031508952,50.64236071593547,100.22399934381949,49.581638627884026,0.1925,0.12600000000000003,113.45950225339067,41.58493847132056,86.99854902459685,45.4136105532763,0.20124999999999998,0.133,113.45950225339067,41.58493847132056,86.99854902459685,45.4136105532763,0.21,0.14
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,108.03728216024454,131.32082558919532,169.00451839052977,37.68369280133442,0.0845,0.045,112.5500034921934,104.98468116301717,156.19927322268296,51.21459205966578,0.11750000000000001,0.075,115.32372890022774,73.15965754256428,128.3982040809891,55.23854653842482,0.15875,0.11249999999999999,115.8727831196564,63.22097223402226,116.81332876489265,53.59235653087038,0.171125,0.12374999999999999,116.34172499992074,52.27484315321611,102.4953865547892,50.2205434015731,0.18350000000000002,0.135,116.618076042188,43.65808267580836,90.1179783116019,46.45989563579355,0.19175,0.1425,116.618076042188,43.65808267580836,90.1179783116019,46.45989563579355,0.2,0.15
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,110.49625827996651,132.01775628094856,169.22404506400449,37.206288783055896,0.0815,0.048,115.41705527646744,105.78243231288762,156.71785863543343,50.93542632254581,0.1125,0.08,118.42807734568412,74.03227202416548,129.3495774585844,55.31730543441891,0.15125,0.12,119.02260375987285,64.1673098846149,117.97523876394325,53.80792887932835,0.162875,0.132,119.52995684812316,53.37894904212196,104.01186163232573,50.632912590203766,0.17450000000000002,0.14400000000000002,119.8287552478031,45.003363134810385,92.11306916234724,47.10970602753686,0.18225,0.152,119.8287552478031,45.003363134810385,92.11306916234724,47.10970602753686,0.19,0.16
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,113.01103822786214,132.60593149598336,169.40444696532876,36.798515469345396,0.0785,0.051000000000000004,118.33334010909863,106.37343069784147,157.0966298871445,50.72319918930303,0.1075,0.085,121.57163144114503,74.56914674650133,129.92959118700207,55.36044444050075,0.14375,0.1275,122.2090706008824,64.71433377437481,118.6412740439498,53.926940269575006,0.15462499999999998,0.14025,122.75249649180863,53.97477019992297,104.82356482735084,50.848794627427864,0.1655,0.15300000000000002,123.07229831765368,45.69017514199258,93.12275586825213,47.432580726259545,0.17275,0.1615,123.07229831765368,45.69017514199258,93.12275586825213,47.432580726259545,0.18,0.17
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,115.57355491910315,133.08229870575093,169.54727672479885,36.46497801904791,0.07550000000000001,0.054,121.28471089457123,106.75221358602317,157.33697558075286,50.584761994729696,0.10250000000000001,0.09,124.7359660187409,74.76735670381181,130.1427031393725,55.375346435560665,0.13625,0.135,125.41289164514667,64.86241538532673,118.82086575764009,53.958450372313365,0.146375,0.1485,125.98931073596307,54.07144694544983,104.9548295364398,50.883382590989974,0.15650000000000003,0.162,126.32823558493456,45.7476552383773,93.20698505621843,47.45932981784112,0.16325,0.17099999999999999,126.32823558493456,45.7476552383773,93.20698505621843,47.45932981784112,0.17,0.18
80.0,163.6495484174921,171.03985026429626,7.390301846804171,0.035,0,118.1746735355244,133.4443394120222,169.65385823967307,36.20951882765089,0.07250000000000001,0.056999999999999995,124.2559407971113,106.91519927275979,157.43981345805213,50.52461418529233,0.0975,0.095,127.90191046888364,74.62575497002224,129.99051176295083,55.36475679292859,0.12875,0.14250000000000002,128.61413540104436,64.61158266518683,118.51648159692797,53.904898931741144,0.138125,0.15675,129.2198286225954,53.67035788851573,104.40943925363368,50.73908136511794,0.14750000000000002,0.171,129.5756245144416,45.178073829346644,92.37048234752828,47.19240851818163,0.15375,0.1805,129.5756245144416,45.178073829346644,92.37048234752828,47.19240851818163,0.16,0.19
