x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal,xe,ye
0.24,0.07,0.12,96.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,263.0,115.0,0.9432835820895524,0.3095652173913044,72.42237223399962,0.06337308347529813,0.6892193308550185
0.23,0.1,0.12,103.4985656759521,30.52869048164186,69.44917753517718,38.920487053535325,246.0,158.0,0.892537313432836,0.2347826086956522,73.35529974037323,0.11379897785349236,0.7639405204460967
0.22,0.12,0.12,108.6104596659652,30.845047846496456,69.97272354175345,39.12767569525699,228.0,188.0,0.8388059701492538,0.1826086956521739,74.09453421137081,0.1672913117546848,0.8159851301115242
0.21,0.14,0.12,113.6900675259798,27.646414129903256,64.62042416427091,36.97401003436767,210.0,215.0,0.7850746268656716,0.13565217391304346,73.08214556237385,0.22078364565587738,0.8630111524163568
0.2,0.15,0.12,116.86989764584402,31.75358835954819,71.46922979463022,39.71564143508203,198.0,224.0,0.7492537313432837,0.12,72.27724399837061,0.2558773424190801,0.8789962825278812
0.19,0.16,0.12,120.10090754621224,33.94815507832919,75.04100904341297,41.09285396508378,178.0,240.0,0.6895522388059703,0.09217391304347822,73.16419889536138,0.31550255536626914,0.9066914498141265
0.18,0.17,0.12,123.3634229583833,34.95263530875019,76.65563066803891,41.70299535928872,157.0,258.0,0.6268656716417911,0.060869565217391286,72.44308110509934,0.3781942078364566,0.937732342007435
0.17,0.18,0.12,126.63657704161672,34.95263530875019,76.65563066803891,41.70299535928872,140.0,270.0,0.5761194029850747,0.03999999999999998,73.00684899377592,0.42862010221465074,0.958736059479554
0.16,0.19,0.12,129.89909245378777,33.94815507832919,75.04100904341297,41.09285396508378,126.0,280.0,0.5343283582089553,0.022608695652173882,73.02739212103907,0.46984667802385016,0.9763940520446097
0.06,0.21,0.12,154.05460409907715,58.64768953603138,111.0265266284496,52.37883709241823,-44.0,293.0,0.026865671641791045,0.0,79.92496481075234,0.9741056218057923,1.0
0.05,0.21,0.12,156.60750224624888,60.27666668172127,113.12022495664802,52.84355827492675,-53.0,288.0,0.0,0.008695652173912993,79.32212806020776,1.0,0.9916356877323421
0.07,0.2,0.12,150.70995378081128,62.77770655973522,116.26487668937423,53.48717012963903,-13.0,276.0,0.11940298507462688,0.029565217391304355,78.26237921249263,0.8807495741056219,0.9706319702602231
0.05,0.2,0.12,155.96375653207355,66.29564995849192,120.5434783691598,54.24782841066786,-50.0,269.0,0.008955223880597024,0.04173913043478261,79.61155694998057,0.9908006814310052,0.9589219330855019
0.07,0.19,0.12,149.77514056883192,68.4987990973867,123.13610137485075,54.63730227746405,-8.0,257.0,0.13432835820895525,0.06260869565217386,77.87810988975015,0.8654173764906304,0.937918215613383
0.06,0.19,0.12,152.47443162627712,70.4174211158999,125.33897041744208,54.92154930154217,-31.0,256.0,0.06567164179104477,0.06434782608695655,78.77182237323191,0.9342419080068144,0.9362453531598514
0.05,0.19,0.12,155.25643716352926,72.05092299080442,127.1739835130118,55.12306052220736,-53.0,251.0,0.0,0.0730434782608696,80.7093550959243,1.0,0.9278810408921934
0.06,0.18,0.12,151.56505117707798,75.96397379623532,131.41753867131018,55.45356487507486,-25.0,239.0,0.08358208955223882,0.0939130434782609,78.71467461661771,0.9158432708688247,0.9068773234200743
