x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.11,-0.04,0.12,60.016893478100016,118.36017428389415,163.80218537193858,45.44201108804442,66.0,-42.0,1.188,0.756,75.96051605933177
0.11,-0.05,0.12,55.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,61.0,-54.0,1.098,0.972,75.31268153505093
0.11,-0.06,0.12,51.389540334034784,113.3781308978084,161.23908684547888,47.86095594767048,65.0,-72.0,1.17,1.296,75.1065909225016
0.11,-0.07,0.12,47.52880770915151,110.33228740803456,159.51595664743394,49.18366923939941,65.0,-77.0,1.17,1.386,76.02631123499285
0.11,-0.08,0.12,43.97262661489639,106.98322596997389,157.48263263254333,50.49940666256946,67.0,-96.0,1.206,1.728,75.16648189186454
0.11,-0.09,0.12,40.71059313749964,103.3776328317195,155.12900328134117,51.75137044962168,66.0,-105.0,1.188,1.89,76.6550715869472
0.11,-0.1,0.12,37.72631099390626,99.55673522845954,152.44580322609056,52.889067997631024,67.0,-122.0,1.206,2.196,76.48529270389177
0.1,-0.11,0.12,32.27368900609373,99.55673522845954,152.44580322609056,52.889067997631024,52.0,-136.0,0.936,2.448,75.58438992278762
0.09,-0.13,0.12,24.695153531233963,94.08380395514152,148.2577740429466,54.17397008780505,33.0,-164.0,0.594,2.952,77.89736837660179
0.08,-0.13,0.12,21.6075022462489,97.24366133222938,150.7256931098296,53.482031777600206,17.0,-165.0,0.306,2.97,81.30190649671138
0.07,-0.13,0.12,18.300755766006382,100.14660790798168,152.87285289520293,52.72624498722122,2.0,-163.0,0.036,2.934,81.60882305241266
0.06,-0.15,0.12,11.801409486351815,92.10497830575515,146.6422365812282,54.537258275473015,-12.0,-189.0,-0.216,3.402,78.5175139698144
0.05,-0.15,0.12,8.43494882292201,94.08380395514152,148.2577740429466,54.17397008780505,-30.0,-187.0,-0.54,3.366,80.72174428244226
0.05,-0.16,0.12,7.354024636261329,88.62367714064925,143.66804214062938,55.044364999980125,-26.0,-201.0,-0.468,3.618,79.98124780221924
0.06,-0.16,0.12,10.556045219583469,86.76615186515883,142.01181052023685,55.24565865507803,-8.0,-203.0,-0.144,3.654,77.83315488916018
0.07,-0.16,0.12,13.629377730656811,84.61712771296452,140.03522620892144,55.418098495956926,6.0,-207.0,0.108,3.726,78.74642849044012
0.08,-0.16,0.12,16.56505117707799,82.19302892489164,137.72759367742165,55.53456475253002,19.0,-211.0,0.342,3.798,80.0
0.09,-0.16,0.12,19.357753542791265,79.50832530726561,135.07512834163586,55.566803034370245,38.0,-212.0,0.684,3.816,79.07591289387686
0.1,-0.16,0.12,22.0053832080835,76.57405280956132,132.05973324379266,55.48568043423134,57.0,-213.0,1.026,3.834,78.77182237323191
0.11,-0.15,0.12,26.25383773744479,78.11049018055616,133.6538000853714,55.54330990481523,71.0,-202.0,1.278,3.636,79.30952023559341
0.12,-0.14,0.12,30.601294645004465,79.0406995289464,134.60271324166598,55.56201371271956,83.0,-189.0,1.494,3.402,80.00624975587844
0.13,-0.13,0.12,35.0,79.35225781502139,134.9178056429377,55.56554782791631,103.0,-172.0,1.854,3.096,79.83107164506812
