x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.11,0.14,0.12,131.84277341263095,82.67343877744266,138.19150501649042,55.51806623904776,212.0,254.0,208.0,245.0,244.0,219.0,250.0,227.0,228.0,236.0,47.4236228055175,,640,480
0.1,0.15,0.12,136.30993247402023,81.39694562718014,136.9516808202597,55.55473519307953,,,,,,,,,,,,,640,480
0.09,0.15,0.12,139.03624346792648,84.45374712679643,139.88229784182084,55.4285507150244,,,,,,,,,,,,,640,480
0.1,0.14,0.12,134.46232220802563,86.09980676955018,141.40587832411413,55.30607155456396,,,,,,,,,,,,,640,480
0.11,0.13,0.12,129.7636416907262,87.10110165024413,142.31403814814533,55.212936497901204,,,,,,,,,,,,,640,480
0.12,0.12,0.12,125.0,87.43726353453387,142.61577677772152,55.17851324318767,141.0,277.0,130.0,264.0,165.0,219.0,178.0,230.0,153.0,248.0,62.76941930590086,,640,480
0.13,0.11,0.12,120.23635830927381,87.10110165024413,142.31403814814533,55.212936497901204,151.0,260.0,141.0,246.0,180.0,205.0,193.0,218.0,165.0,232.0,62.177166226839255,,640,480
0.14,0.1,0.12,115.53767779197437,86.09980676955018,141.40587832411413,55.30607155456396,,,,,,,,,,,,,640,480
0.09,0.14,0.12,137.26477372789242,89.30875964113709,144.2666903041677,54.95793066303061,141.0,289.0,131.0,277.0,162.0,231.0,175.0,241.0,151.0,260.0,61.68468205316454,,640,480
0.1,0.09,0.12,121.98721249581666,107.86007569564381,158.0291339974189,50.16905830177512,188.0,304.0,172.0,288.0,208.0,243.0,227.0,258.0,198.0,273.0,64.19501538281614,,640,480
0.1,0.08,0.12,118.65980825409008,111.72057693828101,160.31616249362438,48.59558555534336,200.0,302.0,184.0,282.0,222.0,241.0,242.0,259.0,211.0,271.0,64.8459713474939,,640,480
0.1,0.07,0.12,114.99202019855866,115.32537028508844,162.27841132779272,46.953041042704285,212.0,302.0,195.0,280.0,237.0,241.0,257.0,263.0,224.0,271.0,65.92419889539804,,640,480
0.1,0.06,0.12,110.96375653207352,118.61961415120756,163.92704753857686,45.30743338736932,221.0,303.0,203.0,278.0,248.0,241.0,268.0,266.0,234.0,272.0,67.62396025078685,,640,480
